127.0.0.1 - - [24/Nov/2017:22:37:24 +0000] "GET /wp-admin/edit.php HTTP/1.0" 200 46741 "http://amazing-university.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:37:24 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,jquery-ui-core,jquery-ui-widget,jquery-ui-position,jquery-ui-menu,wp-a11y,jquery-ui-autocomplete,ta&load%5B%5D=gs-suggest,inline-edit-post,heartbeat,svg-painter,wp-auth-check&ver=4.9 HTTP/1.0" 200 27427 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:37:24 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:37:24 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:37:41 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:39:41 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:41:42 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:42:11 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:42:13 +0000] "GET /wp-admin/edit.php HTTP/1.0" 200 46741 "http://amazing-university.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:42:13 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
127.0.0.1 - - [24/Nov/2017:22:42:13 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://amazing-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
